material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
18,2.0,23.0,24.0,22.0,15.0,31.916,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,30.043,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,30.043,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
3,4.0,14.0,24.0,20.0,4.0,97.16,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,86.296,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,55.802,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,99.256,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,87.593,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,71.712,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,95.11,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,87.164,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,54.156,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,96.429,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,92.989,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,67.857,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,99.383,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,70.0,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,48.642,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,99.256,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,82.878,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,77.916,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,93.521,20.0,59.0,208.9804,,,,,
